houseTypes,area,num_floors,bedrooms,address,price,url
Bán Nhà riêng,36,1,,"Bình Tân, TP Hồ Chí Minh",3.5,https://batdongsan.vn/ban-nha-hxh-duong-dat-moi-dt-45x8m-1-lau-gia-35-ty-tl-lien-he-ngay-r268613
Bán Nhà riêng,50,3,4,"Bình Tân, TP Hồ Chí Minh",5.9,https://batdongsan.vn/ban-nha-hxh-thong-duong-dat-moi-dt-4x125m-3-lau-gia-59-ty-tl-lien-he-ngay-r268612
Bán Nhà mặt phố,35,2,2,"Bình Thạnh, TP Hồ Chí Minh",3.88,https://batdongsan.vn/chinh-chu-ban-nha-nho-xinh-moi-xay-gan-cho-ba-chieu-p24-binh-thanh-r268609
Bán Nhà riêng,65,1,3,"Bình Chánh, TP Hồ Chí Minh",2.7,https://batdongsan.vn/nha-moi-vao-o-ngay-quach-dieu-binh-chanh-hxh-quay-dau-65m2-nhinh-2-ty-r268608
Bán Nhà riêng,42,,2,"Tân Phú, TP Hồ Chí Minh",3.2,https://batdongsan.vn/nha-o-ngay-canh-hai-san-179-tay-thanh-quan-tan-phu-32-ty-r268600
Bán Nhà riêng,20,2,,"Quận 11, TP Hồ Chí Minh",2.5,https://batdongsan.vn/ban-nha-binh-quan-11-2-tang-20m2-cach-mat-tien-30m-chi-25-ty-r268599
Bán Nhà riêng,30,2,2,"Tân Phú, TP Hồ Chí Minh",4.1,https://batdongsan.vn/ban-nha-nguyen-son-no-hau-4m-gia-thom-r268598
Bán Nhà riêng,40,3,2,"Tân Bình, TP Hồ Chí Minh",4900.0,https://batdongsan.vn/hang-ngop-giam-600tr-ban-nha-dep-pham-van-hai-p3-tb-365x11m-3t-chi-49-ty-r268596
Bán Nhà riêng,60,4,4,"Đống Đa, Hà Nội",10.3,https://batdongsan.vn/ban-nha-quan-dong-da-phan-lo-oto-chanh-7-cho-vao-nha-60m-x4-tang-mt4m-r268595
Bán Nhà riêng,51,7,4,"Đống Đa, Hà Nội",12.8,https://batdongsan.vn/hoa-hau-pho-vip-quan-dong-da-thang-may-oto-7-cho-vao-nha-51m-x7-tang-mt5m-r268594
Bán Nhà mặt phố,120,2,,"Tân Uyên, Bình Dương",1.05,https://batdongsan.vn/nha-pho-2-tang-mat-tien-view-cong-vien-tai-kcn-vsip2a-duong-nhua-13m-r268592
Bán Nhà mặt phố,32,2,1,"Bình Tân, TP Hồ Chí Minh",3.05,https://batdongsan.vn/ban-nha-duong-ma-lo-binh-tan-hxh-32m2-2-tang-duc-kien-co-nhinh-3-xiu-ty-tl-r268588
Bán Nhà mặt phố,1226,2,4,"Phú Nhuận, TP Hồ Chí Minh",3.26,https://batdongsan.vn/chinh-chu-can-ban-nha-moi-xay-dep-trung-tam-hem-nguyen-dinh-chinh-p11-phu-nhuan-r268583
Bán Nhà mặt phố,120,,,"Từ Sơn, Bắc Ninh",7.1,https://batdongsan.vn/so-huu-ngay-can-shophose-kinh-doanh-cuc-tot-tai-centa-vsip-r268582
Bán Nhà riêng,33,2,,"Quận 11, TP Hồ Chí Minh",2.95,https://batdongsan.vn/ban-nha-au-co-q11-33m2-2-tang-ke-duong-lon-chi-295-ty-tl-r268579
Bán Nhà riêng,60,2,4,"Thuận An, Bình Dương",3.3,https://batdongsan.vn/lo-700-trieu-ban-nhanh-nha-1-tret-1-lau-full-noi-that-tt-thanh-pho-r268577
Bán Nhà riêng,35,,3,"Cầu Giấy, Hà Nội",4.55,https://batdongsan.vn/ho-khau-nghia-tan-ngo-nong-gan-o-to-tranh-d-tang-full-noi-that-hoang-quoc-viet-cau-giay-r268576
